"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 19, 2020","898.13","913.75","923.84","881.85","-","-1.38%"
"Mar 18, 2020","910.73","989.62","989.62","899.22","-","-8.87%"
"Mar 17, 2020","999.35","980.95","1,009.84","968.90","-","1.90%"
"Mar 16, 2020","980.73","1,073.85","1,073.85","928.69","-","-8.99%"
"Mar 13, 2020","1,077.66","1,105.96","1,125.34","1,077.66","-","-1.34%"
"Mar 12, 2020","1,092.29","1,199.66","1,199.66","1,084.21","-","-9.04%"
"Mar 11, 2020","1,200.86","1,201.00","1,225.55","1,197.49","-","-0.03%"
"Mar 10, 2020","1,201.20","1,188.03","1,229.80","1,188.03","-","1.22%"
"Mar 09, 2020","1,186.78","1,256.07","1,256.07","1,177.46","-","-5.99%"
"Mar 06, 2020","1,262.44","1,280.14","1,280.14","1,240.57","-","-1.34%"
"Mar 05, 2020","1,279.62","1,279.28","1,298.12","1,272.78","-","0.05%"
"Mar 04, 2020","1,278.95","1,268.78","1,290.85","1,268.78","-","0.88%"
"Mar 03, 2020","1,267.81","1,245.27","1,278.23","1,245.27","-","1.81%"
"Mar 02, 2020","1,245.25","1,224.50","1,279.07","1,224.50","-","1.76%"
"Feb 28, 2020","1,223.67","1,292.57","1,292.57","1,222.44","-","-5.33%"
"Feb 27, 2020","1,292.57","1,336.80","1,336.80","1,292.16","-","-3.35%"
"Feb 26, 2020","1,337.43","1,313.29","1,344.86","1,289.13","-","1.38%"
"Feb 25, 2020","1,319.18","1,325.21","1,339.16","1,310.48","-","-0.46%"
"Feb 24, 2020","1,325.21","1,382.86","1,382.86","1,320.80","-","-4.14%"
"Feb 21, 2020","1,382.51","1,396.79","1,396.79","1,371.18","-","-1.02%"
"Feb 20, 2020","1,396.79","1,407.24","1,418.49","1,396.79","-","-0.76%"
"Feb 19, 2020","1,407.45","1,399.59","1,411.09","1,399.59","-","0.57%"
"Feb 18, 2020","1,399.50","1,408.27","1,408.34","1,392.78","-","-0.66%"
"Feb 17, 2020","1,408.82","1,401.16","1,411.70","1,399.95","-","0.43%"
"Feb 14, 2020","1,402.79","1,396.06","1,404.01","1,389.68","-","0.45%"
"Feb 13, 2020","1,396.48","1,388.58","1,405.86","1,388.58","-","0.55%"
"Feb 12, 2020","1,388.79","1,374.05","1,399.21","1,371.83","-","1.08%"
"Feb 11, 2020","1,373.98","1,367.91","1,380.79","1,367.55","-","0.48%"
"Feb 10, 2020","1,367.35","1,378.39","1,378.39","1,364.82","-","-0.80%"
"Feb 07, 2020","1,378.37","1,383.73","1,386.07","1,372.23","-","-0.39%"
"Feb 06, 2020","1,383.74","1,381.81","1,394.17","1,381.35","-","0.14%"
"Feb 05, 2020","1,381.76","1,367.92","1,385.94","1,364.11","-","1.11%"
"Feb 04, 2020","1,366.57","1,338.32","1,368.83","1,338.10","-","2.12%"
"Feb 03, 2020","1,338.22","1,339.98","1,349.98","1,337.18","-","-0.13%"
"Jan 31, 2020","1,339.98","1,358.70","1,358.70","1,335.29","-","-1.42%"
"Jan 30, 2020","1,359.33","1,351.15","1,361.37","1,334.56","-","0.61%"
"Jan 29, 2020","1,351.13","1,328.99","1,357.60","1,328.99","-","1.50%"
"Jan 28, 2020","1,331.13","1,337.82","1,342.36","1,327.01","-","-0.51%"
"Jan 27, 2020","1,337.97","1,368.38","1,368.38","1,334.77","-","-2.27%"
"Jan 24, 2020","1,369.11","1,360.93","1,373.48","1,359.09","-","0.75%"
"Jan 23, 2020","1,358.86","1,381.95","1,381.95","1,357.33","-","-1.62%"
"Jan 22, 2020","1,381.23","1,381.47","1,395.64","1,380.35","-","-0.02%"
"Jan 21, 2020","1,381.46","1,402.73","1,402.74","1,374.79","-","-1.54%"
