"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 09, 2020","4,450.20","4,508.38","4,508.84","4,396.96","-","-1.16%"
"Dec 08, 2020","4,502.50","4,512.08","4,559.44","4,472.65","-","-0.09%"
"Dec 07, 2020","4,506.59","4,550.39","4,560.18","4,476.59","-","-1.08%"
"Dec 04, 2020","4,555.87","4,587.79","4,659.79","4,548.95","-","-0.15%"
"Dec 03, 2020","4,562.62","4,518.65","4,570.10","4,510.98","-","1.38%"
"Dec 02, 2020","4,500.60","4,430.21","4,519.31","4,425.68","-","1.71%"
"Dec 01, 2020","4,424.86","4,330.17","4,461.25","4,330.17","-","2.95%"
"Nov 30, 2020","4,297.93","4,308.52","4,318.79","4,255.97","-","0.03%"
"Nov 27, 2020","4,296.49","4,390.31","4,392.08","4,293.01","-","-1.97%"
"Nov 26, 2020","4,382.77","4,355.18","4,389.78","4,323.49","-","0.66%"
"Nov 25, 2020","4,354.04","4,406.63","4,406.63","4,347.94","-","-1.28%"
"Nov 24, 2020","4,410.61","4,375.49","4,434.66","4,364.31","-","1.38%"
"Nov 23, 2020","4,350.55","4,339.85","4,353.98","4,310.65","-","0.85%"
"Nov 20, 2020","4,313.95","4,316.18","4,346.85","4,299.83","-","0.30%"
"Nov 19, 2020","4,301.21","4,317.20","4,335.31","4,250.89","-","-0.97%"
"Nov 18, 2020","4,343.46","4,318.04","4,382.59","4,288.81","-","1.21%"
"Nov 17, 2020","4,291.40","4,164.47","4,305.73","4,164.47","-","2.80%"
"Nov 16, 2020","4,174.39","4,174.39","4,174.39","4,174.39","-","1.29%"
"Nov 13, 2020","4,121.12","4,087.42","4,149.50","4,063.92","-","1.05%"
"Nov 12, 2020","4,078.23","4,114.17","4,123.20","4,034.28","-","-0.97%"
"Nov 11, 2020","4,118.23","4,109.04","4,145.16","4,091.12","-","0.24%"
"Nov 10, 2020","4,108.47","4,026.82","4,127.54","4,022.14","-","1.53%"
"Nov 09, 2020","4,046.57","4,025.63","4,120.31","4,013.52","-","4.33%"
"Nov 06, 2020","3,878.51","3,844.40","3,891.42","3,834.56","-","1.21%"
"Nov 05, 2020","3,832.16","3,753.56","3,841.44","3,744.40","-","4.32%"
"Nov 04, 2020","3,673.52","3,682.00","3,737.23","3,653.23","-","0.03%"
"Nov 03, 2020","3,672.57","3,632.67","3,687.06","3,618.52","-","2.73%"
"Nov 02, 2020","3,575.02","3,575.02","3,575.02","3,575.02","-","-0.66%"
"Oct 30, 2020","3,598.67","3,580.17","3,618.93","3,571.50","-","1.03%"
"Oct 29, 2020","3,562.12","3,626.21","3,626.21","3,552.53","-","-2.61%"
"Oct 28, 2020","3,657.42","3,672.43","3,679.90","3,593.81","-","-2.85%"
"Oct 27, 2020","3,764.78","3,790.51","3,790.51","3,742.13","-","-0.27%"
"Oct 26, 2020","3,774.97","3,810.20","3,810.20","3,764.13","-","-1.58%"
"Oct 23, 2020","3,835.49","3,842.93","3,868.76","3,821.78","-","0.53%"
"Oct 22, 2020","3,815.32","3,808.84","3,821.21","3,776.11","-","0.27%"
"Oct 21, 2020","3,805.11","3,772.96","3,826.00","3,766.30","-","1.47%"
"Oct 20, 2020","3,750.10","3,680.97","3,761.94","3,677.31","-","1.76%"
"Oct 19, 2020","3,685.27","3,712.40","3,721.66","3,656.85","-","-0.31%"
"Oct 16, 2020","3,696.55","3,708.38","3,742.34","3,692.27","-","0.55%"
"Oct 15, 2020","3,676.43","3,651.88","3,702.74","3,631.87","-","-0.51%"
"Oct 14, 2020","3,695.44","3,702.84","3,710.81","3,674.38","-","0.34%"
"Oct 13, 2020","3,683.08","3,714.20","3,715.85","3,673.86","-","-1.39%"
"Oct 12, 2020","3,735.17","3,752.32","3,772.97","3,725.20","-","-0.61%"
"Oct 09, 2020","3,758.10","3,747.94","3,782.15","3,715.13","-","1.33%"
"Oct 08, 2020","3,708.65","3,606.27","3,720.16","3,598.79","-","3.05%"
"Oct 07, 2020","3,598.94","3,576.51","3,606.20","3,570.85","-","0.89%"
"Oct 06, 2020","3,567.27","3,573.95","3,585.00","3,513.16","-","0.06%"
"Oct 05, 2020","3,565.26","3,541.68","3,589.40","3,533.58","-","2.10%"
"Oct 02, 2020","3,491.80","3,437.80","3,515.29","3,429.04","-","1.16%"
"Oct 01, 2020","3,451.91","3,543.51","3,544.00","3,451.91","-","-1.95%"
"Sep 30, 2020","3,520.59","3,458.91","3,548.83","3,453.40","-","2.24%"
"Sep 29, 2020","3,443.30","3,468.25","3,468.25","3,413.39","-","0.40%"
"Sep 28, 2020","3,429.50","3,433.33","3,454.72","3,394.60","-","1.27%"
"Sep 25, 2020","3,386.63","3,364.44","3,401.57","3,302.88","-","1.52%"
"Sep 24, 2020","3,335.91","3,279.80","3,424.40","3,279.80","-","-0.44%"
"Sep 23, 2020","3,350.81","3,392.62","3,407.63","3,308.08","-","-2.94%"
"Sep 22, 2020","3,452.30","3,447.22","3,456.94","3,404.65","-","1.28%"
"Sep 21, 2020","3,408.63","3,461.02","3,461.02","3,395.94","-","-4.04%"
"Sep 18, 2020","3,552.06","3,592.70","3,593.41","3,525.61","-","-0.35%"
"Sep 17, 2020","3,564.66","3,605.30","3,614.34","3,564.66","-","-1.91%"
"Sep 16, 2020","3,634.01","3,634.01","3,634.01","3,634.01","-","0.28%"
"Sep 15, 2020","3,623.88","3,663.17","3,668.39","3,611.22","-","-0.59%"
"Sep 14, 2020","3,645.36","3,606.92","3,656.09","3,591.53","-","2.97%"
"Sep 11, 2020","3,540.10","3,530.20","3,551.28","3,510.04","-","0.41%"
"Sep 10, 2020","3,525.56","3,531.98","3,550.92","3,481.10","-","1.20%"
"Sep 09, 2020","3,483.91","3,468.23","3,525.49","3,455.43","-","1.41%"
"Sep 08, 2020","3,435.60","3,470.53","3,470.53","3,405.73","-","-2.41%"
"Sep 07, 2020","3,520.44","3,499.95","3,525.17","3,495.48","-","0.69%"
"Sep 04, 2020","3,496.28","3,492.59","3,519.22","3,427.91","-","0.18%"
"Sep 03, 2020","3,490.06","3,540.71","3,547.17","3,467.33","-","-0.76%"
"Sep 02, 2020","3,516.95","3,575.34","3,575.34","3,508.26","-","-1.54%"
