"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 27, 2020","1,480.62","1,479.91","1,503.17","1,466.66","-","-0.72%"
"Aug 26, 2020","1,491.42","1,518.74","1,523.56","1,454.46","-","-0.65%"
"Aug 25, 2020","1,501.11","1,512.87","1,526.17","1,494.78","-","-0.08%"
"Aug 24, 2020","1,502.28","1,497.50","1,509.56","1,494.01","-","0.81%"
"Aug 21, 2020","1,490.15","1,503.44","1,503.44","1,472.89","-","0.64%"
"Aug 20, 2020","1,480.71","1,473.37","1,512.56","1,447.82","-","-2.27%"
"Aug 19, 2020","1,515.07","1,548.18","1,548.32","1,502.85","-","-1.57%"
"Aug 18, 2020","1,539.30","1,517.65","1,553.04","1,517.32","-","2.04%"
"Aug 17, 2020","1,508.49","1,546.36","1,547.50","1,481.10","-","-2.96%"
"Aug 14, 2020","1,554.54","1,544.49","1,561.58","1,534.03","-","0.44%"
"Aug 13, 2020","1,547.72","1,570.27","1,591.24","1,539.59","-","0.14%"
"Aug 12, 2020","1,545.52","1,559.75","1,572.32","1,520.00","-","-1.06%"
"Aug 11, 2020","1,562.15","1,578.75","1,595.62","1,560.55","-","-1.46%"
"Aug 10, 2020","1,585.24","1,583.41","1,598.78","1,546.32","-","1.29%"
"Aug 07, 2020","1,565.00","1,599.67","1,599.82","1,556.63","-","-2.88%"
"Aug 06, 2020","1,611.33","1,596.09","1,619.65","1,591.78","-","-0.16%"
"Aug 05, 2020","1,613.97","1,589.60","1,633.26","1,585.20","-","2.54%"
"Aug 04, 2020","1,574.06","1,585.34","1,601.68","1,553.03","-","-1.31%"
"Aug 03, 2020","1,595.00","1,618.99","1,624.99","1,590.27","-","-2.59%"
"Jul 31, 2020","1,637.49","1,679.69","1,685.79","1,630.37","-","-2.39%"
"Jul 30, 2020","1,677.63","1,687.65","1,691.47","1,655.62","-","-1.31%"
"Jul 29, 2020","1,699.85","1,679.60","1,703.28","1,679.60","-","1.99%"
"Jul 28, 2020","1,666.74","1,675.55","1,688.02","1,656.41","-","-0.89%"
"Jul 27, 2020","1,681.68","1,630.91","1,686.80","1,630.34","-","3.03%"
"Jul 24, 2020","1,632.21","1,622.60","1,645.66","1,592.93","-","-0.42%"
"Jul 23, 2020","1,639.04","1,668.02","1,683.82","1,620.69","-","-3.23%"
"Jul 22, 2020","1,693.77","1,680.10","1,702.87","1,670.05","-","2.35%"
"Jul 21, 2020","1,654.88","1,644.16","1,675.03","1,644.16","-","2.65%"
"Jul 20, 2020","1,612.10","1,581.76","1,619.27","1,580.88","-","1.27%"
"Jul 17, 2020","1,591.85","1,554.38","1,591.85","1,553.60","-","2.42%"
"Jul 16, 2020","1,554.27","1,576.13","1,576.13","1,553.09","-","-1.82%"
"Jul 15, 2020","1,583.08","1,568.94","1,585.56","1,551.55","-","3.59%"
"Jul 14, 2020","1,528.26","1,511.18","1,561.11","1,497.51","-","-0.13%"
